"                                                                                     ENDEREÇO","            CIDADE","                        SEDE","          SETOR","","","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR",""
"","","","","","","","","","           MARÇO 2025 ","","          ABRIL  2025","","             MAIO  2025","","              JUNHO  2025","","            JULHO  2025","","         AGOSTO  2025","","   SETEMBRO  2025","","    OUTUBRO  2025","","   NOVENBRO  2025","","    DEZEMBRO  2025","","       JANEIRO 2026","","   FEVEREIRO  2026","","","",""
"","","","","","             SEA","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","GABSEC","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0050","303","0","360","0","447","0","239","0","302","0","298","0","245","0","292","0","72","0","205","0","136","0","149","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","GELOC","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0053","693","0","497","0","463","0","398","0","713","0","923","0","711","0","475","0","570","0","654","0","789","0","700","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","PROTOCOLO","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC5501","199","0","157","0","311","0","214","0","322","0","157","0","0","0","59","0","136","0","253","0","431","0","254","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGPA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0052","561","0","909","0","502","0","679","0","578","0","499","0","820","0","1572","0","682","0","696","0","920","0","558","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGDP - MEIO","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0051","884","0","931","0","1084","0","1146","0","1061","0","1016","0","1728","0","1420","0","888","0","1695","0","1368","0","1007","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGDP - MEIO","Tipo 04","Impressão Color","Okidata ES8473MFP","RETIRADA","TPSC4530","960","900","345","950","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","GEZEL","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC1449","338","0","460","0","403","0","316","0","384","0","427","0","433","0","347","0","218","0","346","0","417","0","293","0","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGDP GAB","Tipo 03","Impressão Color","Okidata MC573","MULTIFUNCIONAL COLOR OKIDATA MC573DN","TPSC6316","456","591","410","289","449","450","646","436","598","436","417","322","424","401","323","699","526","476","384","801","512","429","753","677","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGLC GAB","Tipo 03","Impressão Color","Okidata MC573","MULTIFUNCIONAL COLOR OKIDATA MC573DN","TPSC7826","0","0","466","645","1062","982","1183","1173","1507","810","2073","1302","1911","2409","2061","2073","1043","1177","1323","2153","1334","1113","2118","1653","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","GAB  SECRETÁRIO","Tipo 04","Impressão Color","Okidata ES8473MFP","MULTIFUNCIONAL COLOR OKIDATA ES8473MFP","TPSC6037","225","671","0","0","0","0","0","0","0","0","1535","5663","296","1005","461","679","285","739","415","907","242","512","121","525","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DIAPO","Tipo 04","Impressão Color","Okidata ES8473MFP","MULTIFUNCIONAL COLOR OKIDATA ES8473MFP","TPSC6099","911","1104","818","1335","959","2057","815","1436","1012","1679","1658","1241","1442","1036","1180","1208","689","869","665","796","837","1149","624","1041","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DIAF","Tipo 04","Impressão Color","Okidata ES8473MFP","MULTIFUNCIONAL COLOR OKIDATA ES8473MFP","TPSC4531","1280","786","1418","780","1976","871","1117","712","2170","795","1826","693","2207","894","1611","803","978","488","1395","742","1529","795","1601","720","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","DGPA","Tipo 04","Impressão Color","Okidata ES8473MFP","MULTIFUNCIONAL COLOR OKIDATA ES8473MFP","TPSC1774","725","766","917","1114","746","1644","1057","820","628","1183","1119","1649","633","1828","799","1376","418","1144","642","710","581","1206","534","756","","",""
