metodo,seed,distancia_km,gap_vs_otimo_pct,tempo_s,n_cidades
SA,1,1475.08,1.72,0.1317,18
AG,1,1477.06,1.86,0.5601,18
SA,2,1450.11,0.0,0.0817,18
AG,2,1641.18,13.18,0.9889,18
SA,3,1462.74,0.87,0.0562,18
AG,3,1646.06,13.51,0.7937,18
SA,4,1443.61,-0.45,0.0863,18
AG,4,1555.8,7.29,0.6393,18
SA,5,1462.74,0.87,0.0741,18
AG,5,1464.21,0.97,0.5329,18
SA,6,1475.08,1.72,0.0556,18
AG,6,1477.81,1.91,0.5829,18
SA,7,1491.94,2.88,0.0536,18
AG,7,1443.61,-0.45,0.6471,18
SA,8,1443.61,-0.45,0.1207,18
AG,8,1462.74,0.87,0.5043,18
SA,9,1462.74,0.87,0.0579,18
AG,9,1509.96,4.13,0.5691,18
SA,10,1495.99,3.16,0.0559,18
AG,10,1615.15,11.38,0.6597,18
SA,11,1520.94,4.88,0.054,18
AG,11,1527.78,5.36,0.903,18
SA,12,1443.61,-0.45,0.0924,18
AG,12,1497.06,3.24,0.5363,18
SA,13,1455.5,0.37,0.0482,18
AG,13,1518.09,4.69,0.6081,18
SA,14,1462.74,0.87,0.0665,18
AG,14,1741.11,20.07,0.6691,18
SA,15,1443.61,-0.45,0.0458,18
AG,15,1545.6,6.58,0.4691,18
SA,16,1462.74,0.87,0.0714,18
AG,16,1493.23,2.97,0.6708,18
SA,17,1475.08,1.72,0.0665,18
AG,17,1563.84,7.84,0.6744,18
SA,18,1443.61,-0.45,0.0465,18
AG,18,1467.9,1.23,0.3832,18
SA,19,1430.76,-1.33,0.0515,18
AG,19,1546.54,6.65,0.4445,18
SA,20,1450.11,0.0,0.0478,18
AG,20,1545.26,6.56,0.519,18
SA,21,1462.74,0.87,0.0557,18
AG,21,1500.78,3.49,0.5753,18
SA,22,1443.61,-0.45,0.0839,18
AG,22,1467.9,1.23,0.6784,18
SA,23,1517.52,4.65,0.0574,18
AG,23,1450.11,0.0,0.6319,18
SA,24,1430.76,-1.33,0.0587,18
AG,24,1455.5,0.37,0.5567,18
SA,25,1475.08,1.72,0.0561,18
AG,25,1596.56,10.1,0.744,18
SA,26,1459.19,0.63,0.0595,18
AG,26,1540.5,6.23,0.8891,18
SA,27,1450.11,0.0,0.1097,18
AG,27,1462.9,0.88,0.729,18
SA,28,1459.19,0.63,0.0569,18
AG,28,1564.79,7.91,0.8025,18
SA,29,1459.19,0.63,0.1252,18
AG,29,1450.11,0.0,1.0277,18
SA,30,1430.76,-1.33,0.1134,18
AG,30,1531.52,5.61,0.691,18
