ds,yhat
2026-01-01,1971.4138058514511
2026-01-02,1984.811407124649
2026-01-03,1840.2721533857275
2026-01-04,1557.2725903458052
2026-01-05,1407.9218029617723
2026-01-06,1463.5166691960933
2026-01-07,1673.9964111575785
2026-01-08,1921.160258265301
2026-01-09,1946.3485924124661
2026-01-10,1800.6663507266785
2026-01-11,1517.352693943732
2026-01-12,1368.5039275609786
2026-01-13,1425.3853682335136
2026-01-14,1637.8870459005811
2026-01-15,1887.7429586884348
2026-01-16,1916.2142027538553
2026-01-17,1774.3146946365684
2026-01-18,1495.1834275708684
2026-01-19,1350.8101757558024
2026-01-20,1412.3502612709165
2026-01-21,1629.583194054241
2026-01-22,1884.1348217283285
2026-01-23,1917.1632333146372
2026-01-24,1779.5870604874938
2026-01-25,1504.4600502021897
2026-01-26,1363.698763106714
2026-01-27,1428.3989625295933
2026-01-28,1648.2954654992986
2026-01-29,1904.9850655659268
2026-01-30,1939.6127569785046
