cidade,volume_previsto,performance,ipl,tempo_processamento
IMBITUBA,232822.45,0.86,93235.1,0.24
BLUMENAU,177869.34,0.89,71193.06,0.43
JOAÇABA,160128.27,0.86,64157.43,0.2
CRICIÚMA,147324.21,0.89,58975.01,0.41
ITAJAÍ,137908.91,0.89,55208.89,0.49
CHAPECÓ,130594.12,0.89,52282.97,0.45
SÃO MIGUEL DO OESTE,121632.7,0.86,48759.2,0.24
VIDEIRA,115971.16,0.89,46433.79,0.44
LAGES,104596.59,0.89,41883.96,0.5
RIO DO SUL,103964.32,0.89,41631.05,0.58
MAFRA,93217.25,0.86,37393.02,0.2
FLORIANÓPOLIS,90587.87,0.89,36280.48,0.46
JARAGUÁ DO SUL,88656.92,0.89,35508.09,0.42
CURITIBANOS,87838.1,0.86,35241.36,0.24
TUBARÃO,87372.26,0.89,34994.23,0.56
BRUSQUE,68584.32,0.89,27479.05,0.62
JOINVILLE,35898.26,0.86,14465.43,0.26
CONCÓRDIA,-45614.36,0.89,-18200.42,0.53
