metodo,seed,distancia_km,melhoria_vs_nn_pct
SA,1,1459.19,-0.63
AG,1,1623.67,-11.97
SA,2,1462.74,-0.87
AG,2,1616.31,-11.46
SA,3,1443.61,0.45
AG,3,1547.22,-6.7
SA,4,1430.76,1.33
AG,4,1824.93,-25.85
SA,5,1462.74,-0.87
AG,5,1453.75,-0.25
SA,6,1443.61,0.45
AG,6,1791.77,-23.56
SA,7,1443.61,0.45
AG,7,1683.69,-16.11
SA,8,1462.74,-0.87
AG,8,1693.53,-16.79
SA,9,1443.61,0.45
AG,9,1888.97,-30.26
SA,10,1443.61,0.45
AG,10,1729.25,-19.25
SA,11,1455.5,-0.37
AG,11,1691.39,-16.64
SA,12,1462.74,-0.87
AG,12,1877.64,-29.48
SA,13,1455.5,-0.37
AG,13,1956.61,-34.93
SA,14,1450.11,0.0
AG,14,1664.33,-14.77
SA,15,1450.11,0.0
AG,15,1916.37,-32.15
SA,16,1455.5,-0.37
AG,16,1740.65,-20.04
SA,17,1430.76,1.33
AG,17,1534.35,-5.81
SA,18,1430.76,1.33
AG,18,1674.37,-15.46
SA,19,1460.67,-0.73
AG,19,1929.87,-33.08
SA,20,1450.11,0.0
AG,20,1510.09,-4.14
SA,21,1455.5,-0.37
AG,21,1638.82,-13.01
SA,22,1462.74,-0.87
AG,22,1618.24,-11.59
SA,23,1430.76,1.33
AG,23,1636.27,-12.84
SA,24,1491.94,-2.88
AG,24,1928.03,-32.96
SA,25,1475.08,-1.72
AG,25,1845.11,-27.24
SA,26,1491.94,-2.88
AG,26,1666.02,-14.89
SA,27,1520.94,-4.88
AG,27,1726.75,-19.08
SA,28,1450.11,0.0
AG,28,1662.25,-14.63
SA,29,1462.74,-0.87
AG,29,1680.24,-15.87
SA,30,1455.5,-0.37
AG,30,1872.27,-29.11
