Cidade,Volume,Percentual (%),Tipo,Vol_Preto,Vol_Color,Custo_Impressao_Mensal,Arvores_Consumidas,Score_Performance,Dificuldade_Logistica,Volume_Norm,Perf_Norm,Logistica_Norm,Pegada_Carbono,Carbono_Norm,Peso_Tipo,Tipo_Norm,IPL
FLORIANÓPOLIS,3164,16.21,SEA,2689.0,475.0,101.28,0.42186666666666667,0.6872700594236812,157.98625466052894,1.0,0.6271503530179057,0.4193889405375826,21.845837869847134,0.2977637669929004,1.0,0.0,0.41886061210967773
BLUMENAU,3000,15.37,SEA,2550.0,450.0,96.0,0.4,0.9753571532049581,122.80728504951048,0.9464751958224543,0.0202201969988709,0.26630072018152867,15.456565034711474,0.145925756963496,1.0,0.0,0.22846061420214728
ITAJAÍ,2256,11.56,SEA,1918.0,338.0,72.16,0.3008,0.8659969709057025,202.96322368059487,0.7036553524804178,0.25061577506510013,0.6151150865965809,32.68803529024962,0.5554233979303703,1.0,0.0,0.389779154790473
CHAPECÓ,2156,11.04,SEA,1833.0,323.0,68.96000000000001,0.28746666666666665,0.7993292420985183,84.87346516301045,0.6710182767624021,0.39106863088480337,0.1012242258457625,12.426251860190467,0.07391181514919443,1.0,0.0,0.21389367589031236
CRICIÚMA,1703,8.72,SEA,1448.0,255.0,54.46,0.22706666666666667,0.5780093202212182,123.03616213380454,0.5231723237597912,0.8573364284179128,0.26729672392758164,15.665246418989677,0.1508849701535696,1.0,0.0,0.33357947306378155
JARAGUÁ DO SUL,1474,7.55,SEA,1253.0,221.0,47.160000000000004,0.19653333333333334,0.5779972601681014,141.59046082342292,0.44843342036553524,0.8573618360466397,0.3480394118958694,21.197594912317154,0.2823585834568873,1.0,0.0,0.3648169793347096
LAGES,1253,6.42,SEA,1065.0,188.0,40.1,0.16706666666666667,0.5290418060840998,164.01749605425897,0.37630548302872063,0.9604991928618822,0.4456350762747334,20.020518674090702,0.2543859301868056,1.0,0.0,0.38854986231899236
BRUSQUE,1112,5.7,SEA,945.0,167.0,35.6,0.14826666666666666,0.9330880728874675,246.2939903482534,0.3302872062663185,0.10927097388425655,0.8036774586376767,42.99288786177409,0.8003132857908948,1.0,0.0,0.3921954246025134
TUBARÃO,796,4.08,SEA,677.0,119.0,25.44,0.10613333333333333,0.8005575058716043,99.91844553958992,0.22715404699738903,0.3884809747921718,0.16669542345642005,13.541627074645032,0.1004181731290232,1.0,0.0,0.1651920213251314
CONCÓRDIA,554,2.84,SEA,471.0,83.0,17.72,0.07386666666666666,0.8540362888980227,178.5586096034029,0.1481723237597911,0.2758140527863735,0.5089135980690874,28.524976627939388,0.45649030190655043,1.0,0.0,0.27046943911637095
RIO DO SUL,474,2.43,SEA,403.0,71.0,15.16,0.0632,0.5102922471479012,198.1036422155106,0.12206266318537859,1.0,0.5939676599837218,27.477503035394978,0.43159759346316184,1.0,0.0,0.42342245016718355
VIDEIRA,323,1.65,SEA,275.0,48.0,10.3,0.04306666666666667,0.9849549260809971,61.61260317999943,0.07278067885117494,0.0,0.0,9.316077058526092,0.0,1.0,0.0,0.01091710182767624
MAFRA,308,1.58,SEA,262.0,46.0,9.84,0.04106666666666667,0.9162213204002109,201.8862129753596,0.06788511749347259,0.14480516107834607,0.6104282622241797,30.848741630522095,0.5117134646783497,1.0,0.0,0.263572145220196
IMBITUBA,308,1.58,SEA,262.0,46.0,9.84,0.04106666666666667,0.6061695553391381,92.63103092182288,0.06788511749347259,0.7980095919764721,0.13498280233174603,12.143119237768055,0.06718330392854109,1.0,0.0,0.21021790727137277
SÃO MIGUEL DO OESTE,230,1.18,SEA,196.0,34.0,7.32,0.030666666666666665,0.5909124836035503,66.26289824631988,0.04242819843342036,0.8301525693217339,0.020236675596392622,11.806397041403917,0.05918126213944985,1.0,0.0,0.1882783311765283
CURITIBANOS,181,0.93,SEA,154.0,27.0,5.78,0.024133333333333333,0.5917022549267169,287.2213843133333,0.02643603133159269,0.8284887112637509,0.9817810806369623,47.8246494707489,0.9151377871971853,1.0,0.0,0.5490469205193187
JOINVILLE,129,0.66,SEA,110.0,19.0,4.1000000000000005,0.0172,0.6521211214797689,291.40800826863983,0.009464751958224544,0.7012007039385152,1.0,51.39561191213972,1.0,1.0,0.0,0.5416598535814368
JOAÇABA,100,0.51,SEA,85.0,15.0,3.2,0.013333333333333334,0.762378215816119,252.09933702911528,0.0,0.46891554812180736,0.8289405690058869,43.787043351393635,0.8191860107956328,1.0,0.0,0.4234084255846654
