metodo,parametro,distancia_km,tempo_s
SA,"temp=500,cool=0.99,iter=5000",1455.5,0.0337
SA,"temp=500,cool=0.99,iter=10000",1517.52,0.141
SA,"temp=500,cool=0.995,iter=5000",1450.11,0.0652
SA,"temp=500,cool=0.995,iter=10000",1443.61,0.0918
SA,"temp=500,cool=0.999,iter=5000",1430.76,0.0326
SA,"temp=500,cool=0.999,iter=10000",1450.11,0.0729
SA,"temp=1000,cool=0.99,iter=5000",1459.19,0.0677
SA,"temp=1000,cool=0.99,iter=10000",1450.11,0.0682
SA,"temp=1000,cool=0.995,iter=5000",1443.61,0.045
SA,"temp=1000,cool=0.995,iter=10000",1450.11,0.058
SA,"temp=1000,cool=0.999,iter=5000",1451.77,0.038
SA,"temp=1000,cool=0.999,iter=10000",1443.61,0.057
SA,"temp=2000,cool=0.99,iter=5000",1462.74,0.0297
SA,"temp=2000,cool=0.99,iter=10000",1455.5,0.061
SA,"temp=2000,cool=0.995,iter=5000",1462.74,0.0308
SA,"temp=2000,cool=0.995,iter=10000",1455.5,0.0623
SA,"temp=2000,cool=0.999,iter=5000",1443.61,0.03
SA,"temp=2000,cool=0.999,iter=10000",1450.11,0.0803
AG,"pop=30,mut=0.01,gen=200",1683.61,0.1036
AG,"pop=30,mut=0.01,gen=500",1620.87,0.308
AG,"pop=30,mut=0.01,gen=1000",1569.07,0.5276
AG,"pop=30,mut=0.02,gen=200",1879.91,0.0785
AG,"pop=30,mut=0.02,gen=500",1798.61,0.3129
AG,"pop=30,mut=0.02,gen=1000",1791.93,0.449
AG,"pop=30,mut=0.05,gen=200",1580.1,0.0831
AG,"pop=30,mut=0.05,gen=500",1539.22,0.2932
AG,"pop=30,mut=0.05,gen=1000",1539.22,0.5954
AG,"pop=60,mut=0.01,gen=200",1530.15,0.3133
AG,"pop=60,mut=0.01,gen=500",1521.81,0.601
AG,"pop=60,mut=0.01,gen=1000",1521.81,1.4233
AG,"pop=60,mut=0.02,gen=200",1566.23,0.2207
AG,"pop=60,mut=0.02,gen=500",1551.16,0.5891
AG,"pop=60,mut=0.02,gen=1000",1497.06,1.274
AG,"pop=60,mut=0.05,gen=200",1651.33,0.1824
AG,"pop=60,mut=0.05,gen=500",1651.33,0.4915
AG,"pop=60,mut=0.05,gen=1000",1651.33,1.2392
AG,"pop=100,mut=0.01,gen=200",1494.12,0.3344
AG,"pop=100,mut=0.01,gen=500",1494.12,1.0771
AG,"pop=100,mut=0.01,gen=1000",1494.12,1.7176
AG,"pop=100,mut=0.02,gen=200",1495.99,0.3416
AG,"pop=100,mut=0.02,gen=500",1495.99,0.904
AG,"pop=100,mut=0.02,gen=1000",1495.99,1.7284
AG,"pop=100,mut=0.05,gen=200",1443.61,0.3325
AG,"pop=100,mut=0.05,gen=500",1443.61,1.1452
AG,"pop=100,mut=0.05,gen=1000",1443.61,1.7707
