metodo,seed,distancia_km,tempo_s,avaliacoes
SA,1,1450.11,0.058,N/A
AG,1,1477.06,0.6799,N/A
SA,2,1443.61,0.0786,N/A
AG,2,1641.18,0.6155,N/A
SA,3,1443.61,0.0598,N/A
AG,3,1646.06,0.5488,N/A
SA,4,1455.5,0.06,N/A
AG,4,1555.8,1.1297,N/A
SA,5,1455.5,0.1256,N/A
AG,5,1464.21,1.0099,N/A
SA,6,1481.91,0.0576,N/A
AG,6,1477.81,0.861,N/A
SA,7,1450.11,0.0615,N/A
AG,7,1443.61,0.7013,N/A
SA,8,1450.11,0.0974,N/A
AG,8,1462.74,0.5307,N/A
SA,9,1450.11,0.1209,N/A
AG,9,1509.96,1.0307,N/A
SA,10,1450.11,0.0938,N/A
AG,10,1615.15,0.7321,N/A
SA,11,1450.11,0.0825,N/A
AG,11,1527.78,0.8048,N/A
SA,12,1517.52,0.0671,N/A
AG,12,1497.06,0.7042,N/A
SA,13,1430.76,0.0567,N/A
AG,13,1518.09,0.5819,N/A
SA,14,1430.76,0.0559,N/A
AG,14,1741.11,0.4898,N/A
SA,15,1443.61,0.0872,N/A
AG,15,1545.6,0.7685,N/A
SA,16,1507.52,0.0696,N/A
AG,16,1493.23,0.4702,N/A
SA,17,1430.76,0.0747,N/A
AG,17,1563.84,1.3012,N/A
SA,18,1443.61,0.1166,N/A
AG,18,1467.9,0.635,N/A
SA,19,1430.76,0.0576,N/A
AG,19,1546.54,0.5697,N/A
SA,20,1495.99,0.0605,N/A
AG,20,1545.26,0.7209,N/A
SA,21,1450.11,0.0598,N/A
AG,21,1500.78,0.463,N/A
SA,22,1460.67,0.0598,N/A
AG,22,1467.9,0.6426,N/A
SA,23,1459.19,0.1027,N/A
AG,23,1450.11,0.4209,N/A
SA,24,1443.61,0.048,N/A
AG,24,1455.5,0.4723,N/A
SA,25,1462.74,0.0474,N/A
AG,25,1596.56,0.4247,N/A
SA,26,1475.08,0.0675,N/A
AG,26,1540.5,0.9726,N/A
SA,27,1443.61,0.1074,N/A
AG,27,1462.9,0.7275,N/A
SA,28,1443.61,0.0578,N/A
AG,28,1564.79,0.6648,N/A
SA,29,1462.74,0.0593,N/A
AG,29,1450.11,0.5819,N/A
SA,30,1450.11,0.058,N/A
AG,30,1531.52,0.4568,N/A
