Cidade,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total Ano
Florianópolis,1898,1898,3586,3586,3586,3586,1898,3586,3586,3586,3586,3586,37968
Blumenau,1800,1800,3400,3400,3400,3400,1800,3400,3400,3400,3400,3400,36000
Itajaí,1354,1354,2557,2557,2557,2557,1354,2557,2557,2557,2557,2557,27075
Chapecó,1294,1294,2443,2443,2443,2443,1294,2443,2443,2443,2443,2443,25869
Criciúma,1022,1022,1930,1930,1930,1930,1022,1930,1930,1930,1930,1930,20436
Jaraguá do Sul,884,884,1671,1671,1671,1671,884,1671,1671,1671,1671,1671,17691
Lages,752,752,1420,1420,1420,1420,752,1420,1420,1420,1420,1420,15036
Brusque,667,667,1260,1260,1260,1260,667,1260,1260,1260,1260,1260,13341
Tubarão,478,478,902,902,902,902,478,902,902,902,902,902,9552
Concórdia,332,332,628,628,628,628,332,628,628,628,628,628,6648
Rio do Sul,284,284,537,537,537,537,284,537,537,537,537,537,5685
Videira,194,194,366,366,366,366,194,366,366,366,366,366,3876
Mafra,185,185,349,349,349,349,185,349,349,349,349,349,3696
Imbituba,185,185,349,349,349,349,185,349,349,349,349,349,3696
São Miguel do Oeste,138,138,261,261,261,261,138,261,261,261,261,261,2763
Curitibanos,109,109,205,205,205,205,109,205,205,205,205,205,2172
Joinville,77,77,146,146,146,146,77,146,146,146,146,146,1545
Joaçaba,60,60,113,113,113,113,60,113,113,113,113,113,1197
